FormulaBomItemID,ProductFormulaRef,ItemRef,Quantity,SecondaryQuantity,Description,ItemTracingRef
419,63,1919,0.2300,,,
420,63,2214,0.0250,,,
421,63,2108,1.0000,,,
422,63,1859,2.0000,,,
423,63,2221,2.0000,,,
424,63,2176,0.2500,,,
425,63,2198,0.0600,,,
426,63,2011,1.0000,,,
429,64,1953,0.0500,,,
430,64,1960,0.0200,20.0000,,
431,64,1977,0.0350,,,
432,64,2109,1.0000,,,
433,64,1859,2.0000,,,
434,64,2221,2.0000,,,
435,64,2173,0.2200,,,
436,64,2179,0.0300,,,
437,64,2176,0.3000,,,
438,64,2197,0.0600,,,
440,64,2011,1.0000,,,
443,65,1953,0.0600,,,
444,65,1960,0.0200,20.0000,,
445,65,1977,0.0350,,,
446,65,2214,0.0250,,,
447,65,2109,1.0000,,,
448,65,1859,2.0000,,,
449,65,2221,2.0000,,,
450,65,2176,0.3000,,,
451,65,2198,0.0600,,,
452,65,2167,1.0000,,,
453,65,2011,1.0000,,,
456,66,1953,0.0500,,,
457,66,1960,0.0200,20.0000,,
458,66,1977,0.0350,,,
459,66,2214,0.0250,,,
460,66,2109,1.0000,,,
461,66,1859,2.0000,,,
462,66,2221,2.0000,,,
463,66,2181,1.0000,,,
464,66,2176,0.3000,,,
465,66,2198,0.0600,,,
466,66,2011,1.0000,,,
469,67,1960,0.0200,20.0000,,
471,67,1977,0.0350,,,
472,67,1981,0.0500,,,
473,67,2213,0.0300,,,
474,67,2109,1.0000,,,
475,67,1859,2.0000,,,
476,67,2221,2.0000,,,
477,67,2176,0.2400,,,
478,67,2198,0.0600,,,
479,67,2183,0.1600,,,
480,67,2011,1.0000,,,
483,68,1953,0.0400,,,
484,68,1960,0.0150,15.0000,,
485,68,1977,0.0300,,,
486,68,1921,0.0300,,,
487,68,1924,0.1200,,,
488,68,1922,0.0800,,,
489,68,2109,1.0000,,,
490,68,1859,2.0000,,,
491,68,2221,2.0000,,,
492,68,2176,0.2700,,,
493,68,2198,0.0600,,,
494,68,2011,1.0000,,,
497,69,1971,0.0150,,,
498,69,1979,0.0300,,,
499,69,1980,0.0350,,,
500,69,1922,0.0400,,,
501,69,2105,1.0000,,,
502,69,1859,1.0000,,,
503,69,2221,1.0000,,,
504,69,1863,0.0090,,,
505,69,2187,1.0000,,,
506,69,2180,0.0700,,,
507,69,2175,0.0900,,,
508,69,2021,1.0000,,,
509,70,1971,0.0150,,,
510,70,1979,0.0250,,,
511,70,1980,0.0350,,,
512,70,2226,2.0000,,,
513,70,2107,1.0000,,,
514,70,1859,1.0000,,,
515,70,2221,1.0000,,,
516,70,1863,0.0150,,,
517,70,2188,2.0000,,,
518,70,2218,0.0200,,,
519,70,2202,0.0080,,,
520,70,2005,1.0000,,,
521,71,1971,0.0150,,,
522,71,1979,0.0300,,,
523,71,1980,0.0350,,,
524,71,2105,1.0000,,,
525,71,1859,1.0000,,,
526,71,2221,1.0000,,,
527,71,1863,0.0090,,,
528,71,2187,1.0000,,,
529,71,2180,0.0700,,,
530,71,2178,0.0100,,,
531,71,2175,0.0900,,,
532,71,2177,1.0000,,,
533,71,2021,1.0000,,,
534,72,1971,0.0150,,,
535,72,1979,0.0250,,,
536,72,1980,0.0350,,,
537,72,1924,0.0360,,,
538,72,2226,2.0000,,,
539,72,2107,1.0000,,,
540,72,1859,1.0000,,,
541,72,2221,1.0000,,,
542,72,1863,0.0090,,,
543,72,2188,1.0000,,,
544,72,2218,0.0200,,,
545,72,2202,0.0080,,,
546,72,2005,1.0000,,,
547,73,1971,0.0150,,,
548,73,1979,0.0300,,,
549,73,1980,0.0350,,,
550,73,2226,2.0000,,,
551,73,2107,1.0000,,,
552,73,1859,1.0000,,,
553,73,2221,1.0000,,,
554,73,1863,0.0090,,,
555,73,2188,1.0000,,,
556,73,2218,0.0200,,,
557,73,2202,0.0080,,,
558,73,2005,1.0000,,,
559,74,1971,0.0150,,,
560,74,1979,0.0300,,,
561,74,1980,0.0350,,,
562,74,2226,2.0000,,,
563,74,2107,1.0000,,,
564,74,1859,1.0000,,,
565,74,2221,1.0000,,,
566,74,1863,0.0090,,,
567,74,2188,1.0000,,,
568,74,2189,1.0000,,,
569,74,2218,0.0200,,,
570,74,2202,0.0080,,,
571,74,2005,1.0000,,,
572,75,1971,0.0150,,,
573,75,1979,0.0300,,,
574,75,1980,0.0350,,,
575,75,2107,1.0000,,,
576,75,1859,1.0000,,,
577,75,2221,1.0000,,,
578,75,1863,0.0090,,,
579,75,2188,1.0000,,,
580,75,2202,0.0080,,,
581,75,2005,1.0000,,,
583,76,2195,0.0800,,,
587,77,1953,0.0300,,,
588,77,1977,0.0250,,,
589,77,1919,0.1400,,,
590,77,2108,1.0000,,,
591,77,2221,1.0000,,,
592,77,1859,1.0000,,,
