ElementId,Title,Title_En,Class,Type,NormalType,AccountRef,DlType,InsuranceCoverage,Taxable,UnrelatedToWorkingTime,CalculateForMinWorkingTime,CalculateForMinBase,Coefficient,FixPoint,DenominatorsType,Denominators,SavingRemainder,IsActive,DisplayOrder,Version,Creator,CreationDate,LastModifier,LastModificationDate,PaymentAccountRef,PaymentDlType,ElementTaxType
-320,درآمد غير مستمر نقدي مشمول ماليات ماه هاي قبل,درآمد غير مستمر نقدي مشمول ماليات ماه هاي قبل,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,320,1,1,2018-03-05 13:34:03.240000,1,2018-03-05 13:34:03.240000,,,0
-319,پاداش پايان خدمت محاسبه شده,پاداش پايان خدمت محاسبه شده,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,319,1,1,2025-05-21 09:33:34.817000,1,2025-05-21 09:33:34.817000,,,0
-318,پاداش  - به استثناي پاداش آخر سال و پاداش پايان خدمت محاسبه شده,پاداش  - به استثناي پاداش آخر سال و پاداش پايان خدمت محاسبه شده,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,318,1,1,2025-05-21 09:33:34.817000,1,2025-05-21 09:33:34.817000,,,0
-317,كارانه محاسبه شده,كارانه محاسبه شده,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,317,1,1,2025-05-21 09:33:34.817000,1,2025-05-21 09:33:34.817000,,,0
-316,فوق العاده مسافرت(ماموريت) محاسبه شده,فوق العاده مسافرت(ماموريت) محاسبه شده,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,316,1,1,2025-05-21 09:33:34.817000,1,2025-05-21 09:33:34.817000,,,0
-315,درآمد مستمر مشمول ماليات,درآمد مستمر مشمول ماليات,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,315,1,1,2018-03-05 13:34:03.240000,1,2018-03-05 13:34:03.240000,,,0
-314,هزينه سفرمحاسبه شده,هزينه سفرمحاسبه شده,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,314,1,1,2025-05-21 09:33:34.813000,1,2025-05-21 09:33:34.813000,,,0
-313,مبلغ قراردادهاي پژوهشي محاسبه شده,مبلغ قراردادهاي پژوهشي محاسبه شده,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,313,1,1,2025-05-21 09:33:34.813000,1,2025-05-21 09:33:34.813000,,,0
-312,مبلغ حق الزحمه/حق مشاوره/حق حضور/حق نظارت/حق التاليف/ حق فني/ پاداش شوراي حل اختلاف محاسبه شده,مبلغ حق الزحمه/حق مشاوره/حق حضور/حق نظارت/حق التاليف/ حق فني/ پاداش شوراي حل اختلاف محاسبه شده,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,312,1,1,2025-05-21 09:33:34.813000,1,2025-05-21 09:33:34.813000,,,0
-311,ميانگين درآمد مقطوع,ميانگين درآمد مقطوع,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,311,1,1,2025-05-21 09:33:34.813000,1,2025-05-21 09:33:34.813000,,,0
-310,درآمد مستمر نقدي مشمول ماليات ماه هاي قبل,درآمد مستمر نقدي مشمول ماليات ماه هاي قبل,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,310,1,1,2018-03-05 13:34:03.240000,1,2018-03-05 13:34:03.240000,,,0
-309,تخفيف مالياتي,تخفيف مالياتي,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,309,1,1,2025-05-21 09:33:34.813000,1,2025-05-21 09:33:34.813000,,,0
-308,ماليات مقطوع10%,ماليات مقطوع10%,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,308,1,1,2025-05-21 09:33:34.813000,1,2025-05-21 09:33:34.813000,,,0
-307,مجموع عوامل ماليات مقطوع10%,مجموع عوامل ماليات مقطوع10%,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,307,1,1,2025-05-21 09:33:34.813000,1,2025-05-21 09:33:34.813000,,,0
-306,حق السعي محاسبه شده,حق السعي محاسبه شده,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,306,1,1,2025-05-21 09:33:34.813000,1,2025-05-21 09:33:34.813000,,,0
-305,جمع عوامل غير مستمر نقدي مشمول ماليات,جمع عوامل غير مستمر نقدي مشمول ماليات,1,6,1,,0,,,,,,1.0000,0.0000,,,,True,305,1,1,2018-03-05 13:34:03.237000,1,2018-03-05 13:34:03.237000,,,0
