LookupRef,LocaleName,Title
40536,ar,OmegaDWI3002
40536,en,OmegaDWI3002
40536,ku,OmegaDWI3002
40537,ar,Schenck
40537,en,Schenck
40537,ku,Schenck
40538,ar,MolenLD5218
40538,en,MolenLD5218
40538,ku,MolenLD5218
40539,ar,SchenckDisomatB
40539,en,SchenckDisomatB
40539,ku,SchenckDisomatB
40540,ar,PreciaMolen
40540,en,PreciaMolen
40540,ku,PreciaMolen
40541,ar,TozinElectric
40541,en,TozinElectric
40541,ku,TozinElectric
40542,ar,SchenckDTA
40542,en,SchenckDTA
40542,ku,SchenckDTA
40543,ar,Leon
40543,en,Leon
40543,ku,Leon
40544,ar,SchenckDT
40544,en,SchenckDT
40544,ku,SchenckDT
40545,ar,Delta07
40545,en,Delta07
40545,ku,Delta07
40546,ar,ParsMavazin
40546,en,ParsMavazin
40546,ku,ParsMavazin
40547,ar,TozinElectricTEC1500A
40547,en,TozinElectricTEC1500A
40547,ku,TozinElectricTEC1500A
40548,ar,CASCI1560A
40548,en,CASCI1560A
40548,ku,CASCI1560A
40549,ar,Alpha08Device
40549,en,Alpha08Device
40549,ku,Alpha08Device
40550,ar,ToledoDevice
40550,en,ToledoDevice
40550,ku,ToledoDevice
40551,ar,Alpha05Device
40551,en,Alpha05Device
40551,ku,Alpha05Device
40552,ar,Gamma07Device
40552,en,Gamma07Device
40552,ku,Gamma07Device
40553,ar,TozinTSM8500Device
40553,en,TozinTSM8500Device
40553,ku,TozinTSM8500Device
40554,ar,PandPU800Device
40554,en,PandPU800Device
40554,ku,PandPU800Device
40555,ar,OmegaDWI3002Ver2
40555,en,OmegaDWI3002Ver2
40555,ku,OmegaDWI3002Ver2
40556,ar,Cardinal748
40556,en,Cardinal748
40556,ku,Cardinal748
40557,ar,DeghatA
40557,en,DeghatA
40557,ku,DeghatA
40558,ar,BilanciaiD410Device
40558,en,BilanciaiD410Device
40558,ku,BilanciaiD410Device
40559,ar,TozinTec800
40559,en,TozinTec800
40559,ku,TozinTec800
40560,ar,DeghatDA
40560,en,DeghatDA
40560,ku,DeghatDA
40561,ar,Gamma07Version2Device
40561,en,Gamma07Version2Device
40561,ku,Gamma07Version2Device
40562,ar,FarasooDeghatDevice
40562,en,FarasooDeghatDevice
40562,ku,FarasooDeghatDevice
40563,ar,Toledo8530Device
40563,en,Toledo8530Device
40563,ku,Toledo8530Device
40564,ar,Tesla8000Device
40564,en,Tesla8000Device
40564,ku,Tesla8000Device
40565,ar,Dg18000Device
40565,en,Dg18000Device
40565,ku,Dg18000Device
40566,ar,Cardinal748Ver2
40566,en,Cardinal748Ver2
40566,ku,Cardinal748Ver2
40567,ar,TChenaran01Device
40567,en,TChenaran01Device
40567,ku,TChenaran01Device
40568,ar,TTorbatSugerLostDevice
40568,en,TTorbatSugerLostDevice
40568,ku,TTorbatSugerLostDevice
40569,ar,TTorbatSugerFinenessDevice
40569,en,TTorbatSugerFinenessDevice
40569,ku,TTorbatSugerFinenessDevice
40570,ar,TAbkoohSugerLostDevice
40570,en,TAbkoohSugerLostDevice
40570,ku,TAbkoohSugerLostDevice
40571,ar,ChenaranSugerFinenessDevice
40571,en,ChenaranSugerFinenessDevice
40571,ku,ChenaranSugerFinenessDevice
40572,ar,Pand9800Device
40572,en,Pand9800Device
40572,ku,Pand9800Device
40573,ar,Pand9800GF1TDevice
40573,en,Pand9800GF1TDevice
40573,ku,Pand9800GF1TDevice
40574,ar,Pand9000Device
40574,en,Pand9000Device
40574,ku,Pand9000Device
40575,ar,TBaskoolBaseDevice1
40575,en,TBaskoolBaseDevice1
40575,ku,TBaskoolBaseDevice1
40576,ar,TBaskoolBaseDevice2
40576,en,TBaskoolBaseDevice2
40576,ku,TBaskoolBaseDevice2
40577,ar,TBaskoolBaseDevice3
40577,en,TBaskoolBaseDevice3
40577,ku,TBaskoolBaseDevice3
40578,ar,TBaskoolBaseDevice4
40578,en,TBaskoolBaseDevice4
40578,ku,TBaskoolBaseDevice4
40579,ar,paNone
40579,en,paNone
40579,ku,paNone
40580,ar,paOdd
40580,en,paOdd
40580,ku,paOdd
40581,ar,paEven
40581,en,paEven
40581,ku,paEven
40582,ar,paMark
40582,en,paMark
40582,ku,paMark
40583,ar,paSpace
40583,en,paSpace
40583,ku,paSpace
40584,ar,COM1
40584,en,COM1
40584,ku,COM1
40585,ar,COM2
40585,en,COM2
40585,ku,COM2
40586,ar,COM3
40586,en,COM3
40586,ku,COM3
40587,ar,COM4
40587,en,COM4
40587,ku,COM4
40588,ar,COM5
40588,en,COM5
40588,ku,COM5
40589,ar,COM6
40589,en,COM6
40589,ku,COM6
40590,ar,COM7
40590,en,COM7
40590,ku,COM7
40591,ar,COM8
40591,en,COM8
40591,ku,COM8
40592,ar,COM9
40592,en,COM9
40592,ku,COM9
40593,ar,COM10
40593,en,COM10
40593,ku,COM10
40594,ar,sb1
40594,en,sb1
40594,ku,sb1
40595,ar,sb1p5
40595,en,sb1p5
40595,ku,sb1p5
40596,ar,sb2
40596,en,sb2
40596,ku,sb2
40597,en,Lading
40598,en,Unloading
40599,en,Weighing Finished
40600,en,Voucher Finished
40601,en,Revoked
40602,en,Entrance
40603,en,Exit
40604,en,Receipt
40605,en,ReceiptReturn
40606,en,Delivery
40607,en,DeliveryReturn
40608,en,Credit
40609,en,Cash
40610,ar,تسجيل
40610,en,Registered
40610,ku,تۆماركردن
40611,ar,ملغي
40611,en,Revoked
40611,ku,هەڵوەشێنراو
40612,ar,النقد
40612,en,Cash
40612,ku,نەختي
40613,ar,ائتمان
40613,en,Credit
40613,ku,قەڕز
40614,ar,النقد/ائتمان
40614,en,Cash/Credit
40614,ku,نەختي⁄قەڕز
40615,ar,مستوي بيع البضائع
40615,en,InvoicePerItem
40616,ar,مستوي بيع البضائع
