Database: Sepidar01
================================================================================
Schema.Table                                       | Records    | File
SLS.ProductPackItem                                  |          0 | table_exports2\SLS_ProductPackItem.csv
SLS.ProductPack                                      |          0 | table_exports2\SLS_ProductPack.csv
SLS.CustomsDeclaration                               |          0 | table_exports2\SLS_CustomsDeclaration.csv
SLS.DiscountItemGroupItem                            |          0 | table_exports2\SLS_DiscountItemGroupItem.csv
SLS.InvoiceCommissionBroker                          |          0 | table_exports2\SLS_InvoiceCommissionBroker.csv
SLS.CommissionItem                                   |          0 | table_exports2\SLS_CommissionItem.csv
SLS.CommissionStep                                   |          0 | table_exports2\SLS_CommissionStep.csv
SLS.DiscountItemGroup                                |          0 | table_exports2\SLS_DiscountItemGroup.csv
SLS.Discount                                         |          0 | table_exports2\SLS_Discount.csv
SLS.DiscountItem                                     |          0 | table_exports2\SLS_DiscountItem.csv
AST.AssetGroup                                       |         10 | table_exports2\AST_AssetGroup.csv
AST.AssetRelatedPurchaseInvoice                      |          0 | table_exports2\AST_AssetRelatedPurchaseInvoice.csv
AST.AssetClass                                       |          7 | table_exports2\AST_AssetClass.csv
AST.Asset                                            |          0 | table_exports2\AST_Asset.csv
AST.AcquisitionReceiptItem                           |          0 | table_exports2\AST_AcquisitionReceiptItem.csv
AST.AssetTransaction                                 |          0 | table_exports2\AST_AssetTransaction.csv
AST.ChangeDepreciationMethod                         |          0 | table_exports2\AST_ChangeDepreciationMethod.csv
AST.CostPart                                         |          0 | table_exports2\AST_CostPart.csv
AST.ChangeDepreciationMethodItem                     |          0 | table_exports2\AST_ChangeDepreciationMethodItem.csv
AST.CostPartTransaction                              |          0 | table_exports2\AST_CostPartTransaction.csv
AST.Unuseable                                        |          0 | table_exports2\AST_Unuseable.csv
AST.TransferItem                                     |          0 | table_exports2\AST_TransferItem.csv
AST.Salvage                                          |          0 | table_exports2\AST_Salvage.csv
AST.Transfer                                         |          0 | table_exports2\AST_Transfer.csv
AST.SalvageItem                                      |          0 | table_exports2\AST_SalvageItem.csv
AST.UseableItem                                      |          0 | table_exports2\AST_UseableItem.csv
AST.Useable                                          |          0 | table_exports2\AST_Useable.csv
AST.UnuseableItem                                    |          0 | table_exports2\AST_UnuseableItem.csv
AST.AcquisitionReceipt                               |          0 | table_exports2\AST_AcquisitionReceipt.csv
AST.DepreciationItem                                 |          0 | table_exports2\AST_DepreciationItem.csv
AST.Depreciation                                     |          0 | table_exports2\AST_Depreciation.csv
AST.DepreciationRule                                 |        169 | table_exports2\AST_DepreciationRule.csv
AST.Elimination                                      |          0 | table_exports2\AST_Elimination.csv
AST.EliminationItem                                  |          0 | table_exports2\AST_EliminationItem.csv
AST.Repair                                           |          0 | table_exports2\AST_Repair.csv
AST.Emplacement                                      |          1 | table_exports2\AST_Emplacement.csv
AST.Sale                                             |          0 | table_exports2\AST_Sale.csv
AST.RepairItem                                       |          0 | table_exports2\AST_RepairItem.csv
AST.SaleItem                                         |          0 | table_exports2\AST_SaleItem.csv
MSG.TemplateScheduling                               |          2 | table_exports2\MSG_TemplateScheduling.csv
MSG.TemplateEvent                                    |          0 | table_exports2\MSG_TemplateEvent.csv
MSG.TemplateContact                                  |         11 | table_exports2\MSG_TemplateContact.csv
MSG.TemplateFilter                                   | ERROR      | Failed
MSG.Template                                         |         11 | table_exports2\MSG_Template.csv
MSG.SentScheduledTemplateSchedulingDate              |          0 | table_exports2\MSG_SentScheduledTemplateSchedulingDate.csv
MSG.PhoneLine                                        |          0 | table_exports2\MSG_PhoneLine.csv
MSG.OutgoingMessage                                  |          0 | table_exports2\MSG_OutgoingMessage.csv
MSG.MessageContact                                   |          0 | table_exports2\MSG_MessageContact.csv
MSG.Inbox                                            |          0 | table_exports2\MSG_Inbox.csv
MSG.CustomContactPhone                               |          0 | table_exports2\MSG_CustomContactPhone.csv
MSG.Message                                          |          0 | table_exports2\MSG_Message.csv
MSG.CustomContact                                    |          0 | table_exports2\MSG_CustomContact.csv
SCD.Scheduling                                       |          1 | table_exports2\SCD_Scheduling.csv
SCD.SchedulingItem                                   |       1095 | table_exports2\SCD_SchedulingItem.csv
WKO.ProductOperationItem                             |          0 | table_exports2\WKO_ProductOperationItem.csv
WKO.ProductOperation                                 |          0 | table_exports2\WKO_ProductOperation.csv
WKO.AbstractProductOperation                         |          0 | table_exports2\WKO_AbstractProductOperation.csv
WKO.AbstractProductOperationItem                     |          0 | table_exports2\WKO_AbstractProductOperationItem.csv
WKO.ProductionScheduling                             |          0 | table_exports2\WKO_ProductionScheduling.csv
WKO.FormulaBomItem                                   |        889 | table_exports2\WKO_FormulaBomItem.csv
WKO.FormulaBomItemAlternative                        |          0 | table_exports2\WKO_FormulaBomItemAlternative.csv
WKO.ProductFormula                                   |        101 | table_exports2\WKO_ProductFormula.csv
WKO.ProductOrderBOMItem                              |      12527 | table_exports2\WKO_ProductOrderBOMItem.csv
WKO.ProductOrder                                     |       1918 | table_exports2\WKO_ProductOrder.csv
DST.CustomerReceiptInfoPos                           |          0 | table_exports2\DST_CustomerReceiptInfoPos.csv
DST.HotDistributionSaleDocument                      |          0 | table_exports2\DST_HotDistributionSaleDocument.csv
DST.HotDistributionReceipt                           |          0 | table_exports2\DST_HotDistributionReceipt.csv
