Database: Sepidar01
============================================================
Schema.Table                             | Records
RPA.vwReceiptPos                         | 0
INV.vwItemTracing                        | 0
CNT.vwGuaranteeOperation                 | 0
RPA.vwReconciliation                     | 0
INV.vwProducedItemPrice                  | 0
CNT.vwGuaranteeRelated                   | 0
RPA.vwReconciliationBankItem             | 0
INV.vwProperty                           | 10
CNT.vwProject                            | 0
RPA.vwReconciliationItem                 | 0
INV.vwPropertyDetail                     | 0
CNT.vwSettlement                         | 0
RPA.vwRefundCheque                       | 7
INV.vwServiceInventoryPurchaseInvoice    | 0
CNT.vwSettlementDebtItem                 | 0
RPA.vwRefundChequeItem                   | 8
INV.vwServiceInventoryPurchaseInvoiceItem | 0
CNT.vwSettlementItem                     | 0
SCD.vwScheduling                         | 1
INV.vwServicePurchaseInvoiceItemOtherCostedQuantities | 46
CNT.vwStatus                             | 0
SCD.vwSchedulingItem                     | 1095
INV.vwStock                              | 11
CNT.vwStatusCoefficientItem              | 0
SLS.vwAdditionFactor                     | 0
INV.vwVoucherItemTracking                | 0
CNT.vwStatusOnAccountItem                | 0
SLS.vwAdditionFactorItem                 | 0
MRP.vwDebitCreditNoteVersion             | 26
CNT.vwStatusReceiptItem                  | 0
SLS.vwCommission                         | 0
MRP.vwInventoryDeliveryVersion           | 19908
CNT.vwStatusItem                         | 0
SLS.vwCommissionArea                     | 0
MRP.vwInventoryReceiptVersion            | 2895
CNT.vwTender                             | 0
SLS.vwCommissionBroker                   | 0
MRP.vwItemVersion                        | 388
CNT.vwTenderRelatedPurchaseInvoice       | 0
SLS.vwCommissionCalculation              | 0
MRP.vwManagementReportFilter             | 0
CNT.vwWarranty                           | 6
SLS.vwCommissionCalculationInvoice       | 0
MRP.vwManagementReportFilterValue        | 0
CNT.vwWorkshop                           | 0
SLS.vwCommissionCalculationItem          | 0
MRP.vwManagementReportGrouping           | 0
DST.vwAgreement                          | 0
SLS.vwCommissionCalculationXMLResult     | 0
MRP.vwManagementReportState              | 0
DST.vwAreaAndPath                        | 1
SLS.vwCommissionItem                     | 0
MRP.vwPartyOpeningBalanceVersion         | 246
DST.vwColdDistribution                   | 0
SLS.vwCommissionStep                     | 0
MRP.vwReceiptChequeBankingVersion        | 0
DST.vwColdDistributionInvoice            | 0
SLS.vwCustomsDeclaration                 | 0
MRP.vwReceiptChequeVersion               | 0
DST.vwColdDistributionReturnedInvoice    | 0
SLS.vwCustomsDeclarationItem             | 0
MRP.vwReceiptHeaderVersion               | 727
DST.vwCustomerReceiptInfo                | 0
SLS.vwDiscount                           | 0
MRP.vwRefundChequeVersion                | 7
DST.vwCustomerReceiptInfoCheque          | 0
SLS.vwDiscountItem                       | 0
MRP.vwReturnedSaleInvoiceVersion         | 0
DST.vwCustomerReceiptInfoPos             | 0
SLS.vwDiscountItemGroup                  | 0
MRP.vwSaleInvoiceVersion                 | 17063
DST.vwDebtCollectionList                 | 0
SLS.vwDiscountItemGroupItem              | 0
MRP.vwShredItemVersion                   | 165
DST.vwDebtCollectionListInvoice          | 0
SLS.vwDiscountQuantityItem               | 0
MRP.vwStatusVersion                      | 0
DST.vwHotDistribution                    | 0
SLS.vwInvoice                            | 17063
MSG.vwCustomContact                      | 0
DST.vwHotDistributionInventoryDelivery   | 0
SLS.vwInvoiceBroker                      | 2520
MSG.vwCustomContactPhone                 | 0
