ItemStockSummaryID,StockRef,ItemRef,TracingRef,Order,UnitRef,InputQuantity,OutputQuantity,Quantity,SaleQuantity,FiscalYearRef,SaleWithReserveQuantity,FeedFromClosingOperation
848,10,1907,,1,1,6.7800,0.2800,6.5000,0.0000,1,0.0000,False
849,10,2213,,1,1,74.1000,42.5500,31.5500,0.0000,1,0.0000,False
850,10,1880,,1,1,2.0000,0.1000,1.9000,0.0000,1,0.0000,False
851,10,2140,,1,2,24.0000,24.0000,0.0000,0.0000,1,0.0000,False
852,12,2167,,1,2,2042.0000,2367.0000,-325.0000,0.0000,1,0.0000,False
853,12,2168,,1,2,1184.0000,1745.0000,-561.0000,0.0000,1,0.0000,False
854,12,2172,,1,1,441.1500,477.4000,-36.2500,0.0000,1,0.0000,False
855,12,2173,,1,1,1883.9450,1874.8500,9.0950,0.0000,1,0.0000,False
856,12,2177,,1,2,34789.0000,46362.0000,-11573.0000,0.0000,1,0.0000,False
857,12,2181,,1,2,838.0000,835.0000,3.0000,0.0000,1,0.0000,False
858,12,2185,,1,2,1036.0000,1187.0000,-151.0000,0.0000,1,0.0000,False
860,12,2187,,1,2,67409.0000,71355.0000,-3946.0000,0.0000,1,0.0000,False
861,12,2188,,1,2,15075.0000,15599.0000,-524.0000,0.0000,1,0.0000,False
862,12,2196,,1,2,813.0000,813.0000,0.0000,0.0000,1,0.0000,False
863,12,2198,,1,1,566.4000,612.4000,-46.0000,0.0000,1,0.0000,False
864,13,2213,,1,1,11.5000,3.0900,8.4100,0.0000,1,0.0000,False
865,13,2139,,1,2,104.0000,46.0000,58.0000,0.0000,1,0.0000,False
866,13,1999,,1,2,86500.0000,4861.0000,81639.0000,0.0000,1,0.0000,False
867,13,2021,,1,2,69482.0000,44803.0000,24679.0000,0.0000,1,0.0000,False
868,13,2140,,1,2,36.0000,36.0000,0.0000,0.0000,1,0.0000,False
869,13,1981,,1,1,14.0000,29.3300,-15.3300,0.0000,1,0.0000,False
870,13,2214,,1,1,111.4500,56.2750,55.1750,0.0000,1,0.0000,False
871,13,2003,,1,1,96.0000,0.0000,96.0000,0.0000,1,0.0000,False
872,13,2024,,1,2,1110.0000,678.0000,432.0000,0.0000,1,0.0000,False
873,13,2030,,1,2,94.0000,0.0000,94.0000,0.0000,1,0.0000,False
874,13,2013,,1,2,9132.0000,7451.0000,1681.0000,0.0000,1,0.0000,False
875,13,2002,,1,1,255.0000,0.0000,255.0000,0.0000,1,0.0000,False
876,13,2026,,1,2,2779.0000,2605.0000,174.0000,0.0000,1,0.0000,False
877,13,1973,,1,1,6.3800,0.0000,6.3800,0.0000,1,0.0000,False
878,13,2137,,1,2,1081.0000,299.0000,782.0000,0.0000,1,0.0000,False
879,13,2004,,1,2,4258.0000,2605.0000,1653.0000,0.0000,1,0.0000,False
880,13,1996,,1,2,22000.0000,8686.0000,13314.0000,0.0000,1,0.0000,False
881,13,2005,,1,2,14260.0000,8463.0000,5797.0000,0.0000,1,0.0000,False
882,13,2010,,1,2,9610.0000,6538.0000,3072.0000,0.0000,1,0.0000,False
883,13,2132,,1,2,12269.0000,3748.0000,8521.0000,0.0000,1,0.0000,False
884,13,2136,,1,2,735.0000,202.0000,533.0000,0.0000,1,0.0000,False
885,13,1971,,1,1,1359.2400,851.0900,508.1500,0.0000,1,0.0000,False
886,13,2138,,1,2,623.0000,146.0000,477.0000,0.0000,1,0.0000,False
887,13,2221,,1,2,130600.0000,81828.0000,48772.0000,0.0000,1,0.0000,False
888,13,2110,,1,2,5138.0000,4030.0000,1108.0000,0.0000,1,0.0000,False
889,13,2173,,1,1,1220.6500,768.9640,451.6860,0.0000,1,0.0000,False
890,13,2012,,1,2,8660.0000,6538.0000,2122.0000,0.0000,1,0.0000,False
891,13,2172,,1,1,300.0500,230.5270,69.5230,0.0000,1,0.0000,False
892,13,2130,,1,2,1040.0000,285.0000,755.0000,0.0000,1,0.0000,False
893,13,2011,,1,2,11914.0000,7451.0000,4463.0000,0.0000,1,0.0000,False
894,13,2129,,1,2,1028.0000,358.0000,670.0000,0.0000,1,0.0000,False
895,13,2174,,1,1,458.5000,369.6450,88.8550,0.0000,1,0.0000,False
896,13,1963,,1,1,44.3600,20.3400,24.0200,0.0000,1,0.0000,False
897,13,2001,,1,1,115.8000,0.0000,115.8000,0.0000,1,0.0000,False
898,13,2006,,1,2,114000.0000,0.0000,114000.0000,0.0000,1,0.0000,False
899,13,2007,,1,2,3124.0000,4343.0000,-1219.0000,0.0000,1,0.0000,False
900,13,1987,,1,2,13.0000,0.0000,13.0000,0.0000,1,0.0000,False
901,13,2128,,1,2,7746.0000,2400.0000,5346.0000,0.0000,1,0.0000,False
902,13,2226,,1,2,16068.0000,9416.0000,6652.0000,0.0000,1,0.0000,False
