LocationId,Title,Title_En,Code,Parent,Type,Version,Creator,CreationDate,LastModifier,LastModificationDate,MinistryofFinanceCode,TaxFileCode
184,خرمشهر,خرمشهر,0632420,12,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1608000,
185,دزفول,دزفول,0641,12,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1609000,
186,رامهرمز,رامهرمز,0691,12,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1611000,
187,سوسنگرد,سوسنگرد,0612422,12,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1610101,
188,شوش,شوش,,12,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1613000,
189,شوشتر,شوشتر,0612622,12,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1614000,
190,شادگان,شادگان,0632322,12,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1612000,
191,فريمان,فريمان,0512622,13,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1916000,
192,فردوس,فردوس,0534,13,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1915000,
193,قوچان,قوچان,0581,13,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1918000,
194,قاين,قاين,,13,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1917101,
195,كلات,كلات,,13,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1901500,
196,كاشمر,كاشمر,,13,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1920000,
197,مشهد,مشهد,0511,13,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1901000,
198,چناران,چناران,,13,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1908000,
199,نهبندان,نهبندان,0562622,15,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,3104000,
200,نيشابور,نيشابور,0551,13,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1923000,
201,گناباد,گناباد,0535722,13,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,1921000,
202,اشخانه,اشخانه,0585422,14,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2106101,
203,اسفراين,اسفراين,0585721,14,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,2103000,
204,بيرجند,بيرجند,0561,15,3         ,1,,2018-03-05 13:34:00,,2018-03-05 13:34:00,3101000,
