TaxTableItemId,FromAmount,ToAmount,Rate,TaxTableRef,InLineAmount,PartialAmount
135,320000001.0000,99999999999.0000,35.00,37,34949000000.0000,34887999999.0000000000
136,1.0000,40000000.0000,0.00,38,0.0000,0E-10
137,40000001.0000,80000000.0000,5.00,38,2000000.0000,2000000.0000000000
138,80000001.0000,120000000.0000,7.50,38,5000000.0000,3000000.0000000000
139,120000001.0000,180000000.0000,10.00,38,11000000.0000,6000000.0000000000
140,180000001.0000,240000000.0000,12.50,38,18500000.0000,7500000.0000000000
141,240000001.0000,320000000.0000,15.00,38,30500000.0000,12000000.0000000000
142,320000001.0000,99999999999.0000,17.50,38,17474500000.0000,17444000000.0000000000
143,1.0000,9999999999.0000,0.00,39,0.0000,0E-10
144,1.0000,56000000.0000,0.00,40,0.0000,0E-10
145,56000001.0000,150000000.0000,10.00,40,9400000.0000,9400000.0000000000
146,150000001.0000,250000000.0000,15.00,40,24400000.0000,15000000.0000000000
147,250000001.0000,350000000.0000,20.00,40,44400000.0000,20000000.0000000000
148,350000001.0000,99999999999.0000,30.00,40,29939400000.0000,29894999999.0000000000
149,1.0000,56000000.0000,0.00,41,0.0000,0E-10
150,56000001.0000,150000000.0000,5.00,41,4700000.0000,4700000.0000000000
151,150000001.0000,250000000.0000,7.50,41,12200000.0000,7500000.0000000000
152,250000001.0000,350000000.0000,10.00,41,22200000.0000,10000000.0000000000
153,350000001.0000,99999999999.0000,15.00,41,14969700000.0000,14947500000.0000000000
154,1.0000,9999999999.0000,0.00,42,0.0000,0E-10
155,1.0000,56000000.0000,0.00,43,0.0000,0E-10
156,56000001.0000,448000000.0000,10.00,43,39200000.0000,39200000.0000000000
157,448000001.0000,99999999999.0000,20.00,43,199949600000.0000,19910400000.0000000000
158,1.0000,56000000.0000,0.00,44,0.0000,0E-10
159,56000001.0000,448000000.0000,5.00,44,19600000.0000,19600000.0000000000
160,448000001.0000,99999999999.0000,10.00,44,99974800000.0000,9955200000.0000000000
161,1.0000,9999999999.0000,0.00,45,0.0000,0E-10
162,1.0000,100000000.0000,0.00,46,0.0000,0E-10
163,100000001.0000,140000000.0000,10.00,46,4000000.0000,4000000.0000000000
164,140000001.0000,230000000.0000,15.00,46,17500000.0000,13500000.0000000000
