AccountTopicId,AccountSLRef,TopicRef,Version,Creator,CreationDate,LastModifier,LastModificationDate
371,806,125,1,1,2024-06-19 15:29:14,1,2024-06-19 15:29:14
372,807,125,1,1,2024-06-19 15:29:40,1,2024-06-19 15:29:40
373,808,125,1,1,2024-06-19 15:37:59,1,2024-06-19 15:37:59
374,809,125,1,1,2024-06-19 15:38:19,1,2024-06-19 15:38:19
375,810,125,1,1,2024-06-19 15:38:27,1,2024-06-19 15:38:27
376,811,155,1,1,2024-06-19 15:41:04,1,2024-06-19 15:41:04
378,813,60,1,1,2024-06-19 15:42:04,1,2024-06-19 15:42:04
379,814,150,2,1,2024-06-19 15:42:23,1,2024-06-19 15:42:25
380,819,150,1,1,2024-06-19 15:42:47,1,2024-06-19 15:42:47
381,820,60,1,1,2024-06-19 15:43:14,1,2024-06-19 15:43:14
382,821,150,1,1,2024-06-19 15:43:38,1,2024-06-19 15:43:38
383,822,25,1,1,2024-06-19 15:43:57,1,2024-06-19 15:43:57
384,825,25,1,1,2024-06-19 15:44:13,1,2024-06-19 15:44:13
385,826,150,1,1,2024-06-19 15:44:31,1,2024-06-19 15:44:31
387,829,50,1,1,2024-06-19 15:45:08,1,2024-06-19 15:45:08
388,830,150,1,1,2024-06-19 15:48:25,1,2024-06-19 15:48:25
389,834,110,1,1,2024-06-19 15:48:51,1,2024-06-19 15:48:51
390,835,250,1,1,2024-06-19 15:49:34,1,2024-06-19 15:49:34
391,836,175,1,1,2024-06-19 15:50:42,1,2024-06-19 15:50:42
392,837,175,1,1,2024-06-19 15:51:03,1,2024-06-19 15:51:03
393,838,175,2,1,2024-06-19 15:51:26,1,2024-06-19 15:57:21
394,839,150,1,1,2024-06-19 15:52:01,1,2024-06-19 15:52:01
395,840,175,1,1,2024-06-19 15:52:37,1,2024-06-19 15:52:37
396,843,50,1,1,2024-06-19 15:53:02,1,2024-06-19 15:53:02
397,844,160,1,1,2024-06-19 15:53:34,1,2024-06-19 15:53:34
398,845,160,1,1,2024-06-19 15:54:16,1,2024-06-19 15:54:16
399,846,170,1,1,2024-06-19 15:54:47,1,2024-06-19 15:54:47
400,847,145,1,1,2024-06-19 15:55:04,1,2024-06-19 15:55:04
401,848,110,1,1,2024-06-19 15:55:35,1,2024-06-19 15:55:35
402,849,50,1,1,2024-06-19 15:55:52,1,2024-06-19 15:55:52
403,850,50,1,1,2024-06-19 15:56:14,1,2024-06-19 15:56:14
