SchedulingItemId,SchedulingRef,DateTime
536,-1,2019-09-07 00:00:00
537,-1,2019-09-08 00:00:00
538,-1,2019-09-09 00:00:00
539,-1,2019-09-10 00:00:00
540,-1,2019-09-11 00:00:00
541,-1,2019-09-12 00:00:00
542,-1,2019-09-13 00:00:00
543,-1,2019-09-14 00:00:00
544,-1,2019-09-15 00:00:00
545,-1,2019-09-16 00:00:00
546,-1,2019-09-17 00:00:00
547,-1,2019-09-18 00:00:00
548,-1,2019-09-19 00:00:00
549,-1,2019-09-20 00:00:00
550,-1,2019-09-21 00:00:00
551,-1,2019-09-22 00:00:00
552,-1,2019-09-23 00:00:00
553,-1,2019-09-24 00:00:00
554,-1,2019-09-25 00:00:00
555,-1,2019-09-26 00:00:00
556,-1,2019-09-27 00:00:00
557,-1,2019-09-28 00:00:00
558,-1,2019-09-29 00:00:00
559,-1,2019-09-30 00:00:00
560,-1,2019-10-01 00:00:00
561,-1,2019-10-02 00:00:00
562,-1,2019-10-03 00:00:00
563,-1,2019-10-04 00:00:00
564,-1,2019-10-05 00:00:00
565,-1,2019-10-06 00:00:00
566,-1,2019-10-07 00:00:00
567,-1,2019-10-08 00:00:00
568,-1,2019-10-09 00:00:00
569,-1,2019-10-10 00:00:00
570,-1,2019-10-11 00:00:00
571,-1,2019-10-12 00:00:00
572,-1,2019-10-13 00:00:00
573,-1,2019-10-14 00:00:00
574,-1,2019-10-15 00:00:00
575,-1,2019-10-16 00:00:00
576,-1,2019-10-17 00:00:00
577,-1,2019-10-18 00:00:00
578,-1,2019-10-19 00:00:00
579,-1,2019-10-20 00:00:00
580,-1,2019-10-21 00:00:00
581,-1,2019-10-22 00:00:00
582,-1,2019-10-23 00:00:00
583,-1,2019-10-24 00:00:00
584,-1,2019-10-25 00:00:00
585,-1,2019-10-26 00:00:00
586,-1,2019-10-27 00:00:00
587,-1,2019-10-28 00:00:00
588,-1,2019-10-29 00:00:00
589,-1,2019-10-30 00:00:00
590,-1,2019-10-31 00:00:00
591,-1,2019-11-01 00:00:00
592,-1,2019-11-02 00:00:00
593,-1,2019-11-03 00:00:00
594,-1,2019-11-04 00:00:00
595,-1,2019-11-05 00:00:00
596,-1,2019-11-06 00:00:00
597,-1,2019-11-07 00:00:00
598,-1,2019-11-08 00:00:00
599,-1,2019-11-09 00:00:00
600,-1,2019-11-10 00:00:00
601,-1,2019-11-11 00:00:00
602,-1,2019-11-12 00:00:00
603,-1,2019-11-13 00:00:00
604,-1,2019-11-14 00:00:00
605,-1,2019-11-15 00:00:00
606,-1,2019-11-16 00:00:00
607,-1,2019-11-17 00:00:00
608,-1,2019-11-18 00:00:00
609,-1,2019-11-19 00:00:00
610,-1,2019-11-20 00:00:00
611,-1,2019-11-21 00:00:00
612,-1,2019-11-22 00:00:00
613,-1,2019-11-23 00:00:00
614,-1,2019-11-24 00:00:00
615,-1,2019-11-25 00:00:00
616,-1,2019-11-26 00:00:00
617,-1,2019-11-27 00:00:00
618,-1,2019-11-28 00:00:00
619,-1,2019-11-29 00:00:00
620,-1,2019-11-30 00:00:00
621,-1,2019-12-01 00:00:00
622,-1,2019-12-02 00:00:00
623,-1,2019-12-03 00:00:00
624,-1,2019-12-04 00:00:00
625,-1,2019-12-05 00:00:00
626,-1,2019-12-06 00:00:00
627,-1,2019-12-07 00:00:00
628,-1,2019-12-08 00:00:00
629,-1,2019-12-09 00:00:00
630,-1,2019-12-10 00:00:00
631,-1,2019-12-11 00:00:00
